lon,lat,name,year,month,drought,enso,PET,P,ET,SM,SM_prev,DS,NDVI
-100.3,35.4,P1,1983,7,NA,0.39,178.4936981,5.860000134,60.64772797,14.69973326,22.22754359,2,0.376087397
-100.3,35.4,P1,1983,8,NA,0.09,166.4827423,11.92000008,33.77425385,13.56989145,14.69973326,-30,0.344598085
-100.3,35.4,P1,1983,9,NA,-0.67,124.2396164,10.92000008,25.28957558,16.75720215,13.56989145,-16,0.320256501
-100.3,35.4,P1,1984,1,NA,-0.37,33.50720978,6.909999847,4.389671803,23.10608327,26.24452412,4,0.258884639
-100.3,35.4,P1,1984,10,NA,-0.2,72.31445313,23.94000053,28.43535233,24.5611921,15.76372087,12,0.255039811
-100.3,35.4,P1,1984,11,NA,-0.66,44.17004395,39.22000122,12.13568687,21.80813551,24.5611921,13,0.24660334
-100.3,35.4,P1,1984,12,NA,-0.62,32.94353104,80.25,10.16580772,25.85211992,21.80813551,4,0.225063279
-100.3,35.4,P1,1984,2,NA,-0.54,47.57055283,24.96999931,19.02453041,21.31381631,23.10608327,2,0.279469669
-100.3,35.4,P1,1984,3,NA,0.02,71.52777863,28.05999947,24.98668098,19.97494996,21.31381631,6,0.301288098
-100.3,35.4,P1,1984,4,NA,-0.56,100.335144,32.20999908,43.69268417,20.86762488,19.97494996,24,0.366988063
-100.3,35.4,P1,1984,5,NA,-0.39,141.3705902,19.27000046,55.34516144,17.49831885,20.86762488,-8,0.391032368
-100.3,35.4,P1,1984,6,NA,-0.28,163.0123901,89.31999969,87.98218536,21.9086498,17.49831885,-13,0.387841314
-100.3,35.4,P1,1984,7,NA,-0.2,177.9731903,20.34000015,60.50423813,16.01142287,21.9086498,-26,0.364613593
-100.3,35.4,P1,1984,8,NA,-0.31,158.1551361,22.64999962,50.15894318,20.45410573,16.01142287,-1,0.333132148
-100.3,35.4,P1,1984,9,NA,-0.21,113.9436264,7.190000057,23.99379539,15.76372087,20.45410573,-11,0.3504273
-100.3,35.4,P1,1985,1,NA,-0.19,30.97396851,14.93999958,4.075662136,23.70285094,25.85211992,-14,0.232324883
-100.3,35.4,P1,1985,10,NA,-0.01,73.6477356,73.73000336,41.89161682,30.33140898,22.76262641,22,0.346081972
-100.3,35.4,P1,1985,11,NA,-0.02,41.4296875,31.27000046,19.74682808,25.07127523,30.33140898,-10,0.341512561
-100.3,35.4,P1,1985,12,NA,-0.21,31.1347847,5.900000095,4.010686874,25.02043843,25.07127523,-6,0.297430724
-100.3,35.4,P1,1985,2,NA,-0.95,40.45353699,45.04000092,4.918012142,21.73749804,23.70285094,4,0.26357469
-100.3,35.4,P1,1985,3,NA,-0.72,73.57150269,74.62999725,28.57598114,26.35754347,21.73749804,4,0.282113642
-100.3,35.4,P1,1985,4,NA,-1.08,108.4171371,51.79000092,66.63679504,21.61979973,26.35754347,-3,0.414135873
-100.3,35.4,P1,1985,5,NA,-0.5,142.6952667,34.52000046,79.61658478,17.07125157,21.61979973,14,0.446962208
-100.3,35.4,P1,1985,6,NA,-0.11,160.8787231,179.9499969,105.5755081,22.11738229,17.07125157,-1,0.440959632
-100.3,35.4,P1,1985,7,NA,-0.22,180.4514008,58.83000183,85.82491302,16.15869701,22.11738229,-9,0.412118435
-100.3,35.4,P1,1985,8,NA,-0.64,160.3399048,51.22000122,68.70316315,19.62064952,16.15869701,8,0.366407007
-100.3,35.4,P1,1985,9,NA,-0.29,113.7834396,112.9499969,45.66266251,22.76262641,19.62064952,12,0.380904555
-100.3,35.4,P1,1986,1,NA,-0.73,40.98526001,0,10.98665142,16.66481644,25.02043843,-23,0.288117111
-100.3,35.4,P1,1986,10,NA,0.3,71.54929352,227.9600067,48.08680725,29.23197746,22.31942862,3,0.388090581
-100.3,35.4,P1,1986,11,NA,1.35,42.12485123,55.63999939,23.07963181,25.65427423,29.23197746,32,0.367235601
-100.3,35.4,P1,1986,12,NA,1.31,31.43714905,11.80000019,10.28286648,26.69735849,25.65427423,-1,0.297313601
-100.3,35.4,P1,1986,2,NA,0.26,46.8899765,14.46000004,11.08053398,19.39543337,16.66481644,10,0.314607948
-100.3,35.4,P1,1986,3,NA,-0.29,81.57102966,12.46000004,30.42320442,18.61867905,19.39543337,-16,0.340554565
-100.3,35.4,P1,1986,4,NA,-0.29,111.2697144,31.15999985,40.24552917,24.42999929,18.61867905,6,0.375203103
-100.3,35.4,P1,1986,5,NA,0.05,138.4938812,113.0599976,66.62662506,22.70314693,24.42999929,-3,0.414588362
-100.3,35.4,P1,1986,6,NA,-0.31,155.4197845,99,115.7504272,11.98701262,22.70314693,13,0.427414089
-100.3,35.4,P1,1986,7,NA,0.2,175.1007996,48.47000122,95.2467041,16.90652221,11.98701262,-27,0.413894624
-100.3,35.4,P1,1986,8,NA,0.59,148.0330353,132.8000031,75.74157715,17.86964089,16.90652221,7,0.371990502
-100.3,35.4,P1,1986,9,NA,0.76,106.2730179,130.0800018,75.0168457,22.31942862,17.86964089,21,0.419702142
-100.3,35.4,P1,1987,1,NA,0.99,31.86936569,24.86000061,11.78454018,28.48794758,26.69735849,5,0.2881217
-100.3,35.4,P1,1987,10,NA,1.14,81.95549011,13.89999962,36.11332703,24.52397346,25.77592432,-19,0.385734081
-100.3,35.4,P1,1987,11,NA,0.74,45.88050079,18.40999985,9.462042809,23.14035296,24.52397346,-26,0.342967659
-100.3,35.4,P1,1987,12,NA,0.9,31.89345932,58.54000092,3.942124367,25.77243745,23.14035296,-2,0.268791199
-100.3,35.4,P1,1987,2,NA,1.42,41.91175842,62.11999893,17.1858902,32.04536438,28.48794758,0,0.276224375
-100.3,35.4,P1,1987,3,NA,1.71,71.58355713,49.99000168,41.42751312,32.63915479,32.04536438,-1,0.347563833
-100.3,35.4,P1,1987,4,NA,1.84,106.6684723,0.829999983,50.70235825,21.75446451,32.63915479,-1,0.414505005
-100.3,35.4,P1,1987,5,NA,1.97,134.2628021,151.0800018,75.46192169,21.65636867,21.75446451,9,0.449891418
-100.3,35.4,P1,1987,6,NA,2.08,153.5830994,78.76999664,115.0305939,20.43062001,21.65636867,22,0.482875049
-100.3,35.4,P1,1987,7,NA,2.1,165.657486,31.79000092,100.7243042,20.88315487,20.43062001,11,0.486750722
-100.3,35.4,P1,1987,8,NA,1.87,150.1062469,70.41999817,85.20598602,20.66403329,20.88315487,-10,0.426924914
-100.3,35.4,P1,1987,9,NA,1.68,114.5276794,89.01999664,59.55233002,25.77592432,20.66403329,6,0.41328156
-100.3,35.4,P1,1988,1,NA,0.54,31.57695198,20.59000015,6.74777174,22.84026444,25.77243745,-23,0.25720951
-100.3,35.4,P1,1988,10,NA,-1.86,80.90429688,6.980000019,37.45086288,24.79670048,22.82450944,-13,0.374402821
-100.3,35.4,P1,1988,11,NA,-2.06,50.37031555,19.37000084,16.93984413,23.30134958,24.79670048,-7,0.350635707
-100.3,35.4,P1,1988,12,NA,-1.47,37.39704895,2.650000095,4.389709949,20.71627676,23.30134958,-16,0.290284574
-100.3,35.4,P1,1988,2,NA,0.54,43.66671371,1.629999995,14.23556423,21.18678093,22.84026444,-13,0.267331481
